X,Y
181.565,2.044
180.741,2.056
179.916,2.067
179.092,2.079
178.268,2.091
177.443,2.102
176.619,2.114
175.795,2.125
174.970,2.137
174.146,2.149
173.322,2.160
172.497,2.172
171.673,2.183
171.231,2.190
171.305,2.189
171.378,2.189
171.451,2.188
171.524,2.187
171.598,2.187
171.671,2.186
171.744,2.185
171.817,2.185
171.891,2.184
171.964,2.184
172.037,2.183
172.111,2.182
172.184,2.182
172.257,2.181
172.330,2.181
172.348,2.180
171.285,2.177
170.223,2.175
169.160,2.173
168.098,2.170
167.035,2.168
165.973,2.165
164.911,2.163
163.848,2.160
162.786,2.158
161.723,2.155
160.661,2.153
159.598,2.151
158.536,2.148
157.473,2.146
156.411,2.143
155.348,2.141
154.737,2.145
154.347,2.151
153.956,2.158
153.565,2.165
153.174,2.171
152.783,2.178
152.393,2.185
152.002,2.192
151.611,2.198
151.220,2.205
150.829,2.212
150.439,2.218
150.048,2.225
149.657,2.232
149.266,2.239
148.875,2.245
148.668,2.247
148.901,2.237
149.133,2.226
149.365,2.216
149.597,2.205
149.829,2.195
150.061,2.185
150.293,2.174
150.525,2.164
150.757,2.154
150.989,2.143
151.221,2.133
151.453,2.122
151.685,2.112
151.917,2.102
152.149,2.091
152.381,2.081
152.075,2.082
151.721,2.085
151.367,2.087
151.012,2.090
150.658,2.092
150.304,2.094
149.950,2.097
149.596,2.099
149.242,2.102
148.887,2.104
148.533,2.107
148.179,2.109
147.825,2.112
147.471,2.114
147.117,2.116
146.763,2.119
145.910,2.120
144.633,2.120
143.357,2.120
142.081,2.120
140.805,2.120
139.529,2.120
138.253,2.120
136.976,2.120
135.700,2.120
134.424,2.120
133.148,2.120
131.872,2.120
130.595,2.120
129.319,2.120
128.043,2.120
126.767,2.120
125.637,2.120
125.252,2.119
124.868,2.117
124.483,2.116
124.098,2.115
123.714,2.114
123.329,2.112
122.944,2.111
122.559,2.110
122.175,2.109
121.790,2.108
121.405,2.106
121.021,2.105
120.636,2.104
120.251,2.103
119.867,2.101
119.482,2.100
119.981,2.104
120.720,2.109
121.459,2.114
122.198,2.118
122.937,2.123
123.676,2.128
124.414,2.133
125.153,2.138
125.892,2.143
126.631,2.148
127.370,2.153
128.109,2.158
128.847,2.162
129.586,2.167
130.325,2.172
131.064,2.177
131.412,2.180
131.199,2.179
130.985,2.179
130.771,2.178
130.558,2.177
130.344,2.177
130.130,2.176
129.916,2.175
129.703,2.175
129.489,2.174
129.275,2.174
129.062,2.173
128.848,2.172
128.634,2.172
128.420,2.171
128.207,2.171
127.999,2.170
127.968,2.167
127.938,2.165
127.907,2.163
127.877,2.160
127.846,2.158
127.816,2.155
127.785,2.153
127.755,2.150
127.724,2.148
127.694,2.145
127.663,2.143
127.633,2.141
127.602,2.138
127.572,2.136
127.541,2.133
127.511,2.131
127.620,2.129
127.803,2.128
127.986,2.127
128.170,2.126
128.353,2.124
128.536,2.123
128.719,2.122
128.902,2.121
129.086,2.119
129.269,2.118
129.452,2.117
129.635,2.116
129.818,2.115
130.002,2.113
130.185,2.112
130.368,2.111
130.297,2.110
129.571,2.110
128.844,2.110
128.118,2.110
127.391,2.110
126.664,2.110
125.938,2.110
125.211,2.110
